science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,survey,field,object_class,mass_comparability_group,evidence_status,evidence_status_basis,primary_growth_ranking_flag,redshift,mbh_method,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,log_mbh_systematic_dex,mbh_systematic_kind,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,systematic_combined_with_statistical_error,required_fedd_seed1e2_p5,required_fedd_seed1e2_p16,required_fedd_seed1e2_p50,required_fedd_seed1e2_p84,required_fedd_seed1e2_p95,prob_required_fedd_seed1e2_gt_1,required_log_mseed_fedd0p3_p5,required_log_mseed_fedd0p3_p16,required_log_mseed_fedd0p3_p50,required_log_mseed_fedd0p3_p84,required_log_mseed_fedd0p3_p95,prob_required_log_mseed_fedd0p3_gt_1e5,prob_required_log_mseed_fedd0p3_gt_1e6,uncertainty_pressure_score_0_100,uncertainty_pressure_tier,required_fedd_seed1e2,rank_uncertainty_global_navigation,rank_uncertainty_within_object_class,rank_uncertainty_within_mass_group,rank_uncertainty_within_class_mass_group,rank_uncertainty_primary_within_class_mass_group
v3-shared-science,v3-dataset-catalogue,measurement,UNCOVER20466_greene24,UNCOVER20466_greene24,HZA-UNCOVER-20466,UNCOVER-20466,greene24_uncover_blagn,UNCOVER,Abell 2744,broad_line_agn,virial_balmer_single_epoch,secure,published broad-line AGN identification,True,8.5,single-epoch-virial-hbeta,8.17,0.42,0.42,,,10000,20260808,True,split_normal_in_log_mbh,0.42,0.42,symmetric_reported,False,1.28802844222483,1.3533102005460207,1.4512812871856133,1.5517607047795108,1.6179549598703356,1.0,6.19785024385714,6.475213762331313,6.891464886656108,7.318373191744338,7.599613647989958,1.0,0.9834,100.0,likely_high_pressure,1.4512812871856133,1,1,1,1,1
v3-shared-science,v3-dataset-catalogue,measurement,COSMOS3D13852_lin25,COSMOS3D13852_lin25,HZA-COSMOS3D-13852,COSMOS3D-13852,lin25_cosmos3d_blagn,COSMOS-3D,COSMOS,broad_line_agn,virial_balmer_single_epoch,secure,JWST/NIRCam grism broad-Hbeta identification,True,7.646,single-epoch-virial-hbeta-greene2005,8.6,0.35,0.33,,source cautions that electron scattering could bias virial masses high by 1-2 dex; not applied,10000,20260808,True,split_normal_in_log_mbh,0.35,0.33,asymmetric,False,1.2047115074922863,1.2476726602456725,1.3138659442750404,1.3833934552009903,1.4261530190121698,1.0,6.545716397800352,6.761574397750839,7.094162072545193,7.443502546162445,7.658347663937104,1.0,0.9994,100.0,likely_high_pressure,1.3138659442750404,2,2,2,2,2
v3-shared-science,v3-dataset-catalogue,measurement,RUBIESEGS55604_kocevski25,RUBIESEGS55604_kocevski25,HZA-RUBIES-EGS-55604,RUBIES-EGS-55604,kocevski25_lrd_blagn,RUBIES,EGS/UDS,broad_line_agn,virial_balmer_single_epoch,secure,published broad-line AGN identification,True,6.986,single-epoch-virial-hbeta,9.31,0.1,0.1,0.5,single-epoch virial calibration scatter,10000,20260808,True,split_normal_in_log_mbh,0.1,0.1,symmetric_reported,False,1.2385303252127378,1.249959216559753,1.267193658204571,1.2844345301937332,1.295896397690518,1.0,7.414304418287724,7.480236754466897,7.579660833836,7.679122009333867,7.745244582214612,1.0,1.0,100.0,likely_high_pressure,1.267193658204571,3,3,3,3,3
v3-shared-science,v3-dataset-catalogue,measurement,J0910202812910_baccus26,J0910202812910_baccus26,HZA-J0910-2028-12910,J0910_2028_12910,baccus26_nirspec_blagn,JWST/NIRSpec archival census,multi-field,broad_line_agn,virial_balmer_single_epoch,secure,source-catalogue broad-Halpha AGN identification,True,6.6214,single-epoch-virial-halpha,8.58,0.01,0.01,0.5,single-epoch virial calibration scatter,10000,20260808,True,split_normal_in_log_mbh,0.01,0.01,symmetric_reported,False,1.050169755838843,1.0511397239808127,1.0527682123491622,1.0543763219914477,1.0554311843972164,1.0,6.688634557590028,6.694696953620798,6.704875165660203,6.714926008662776,6.721519002169505,1.0,1.0,100.0,likely_high_pressure,1.0527682123491622,4,4,4,4,4
v3-shared-science,v3-dataset-catalogue,measurement,RUBIESEGS49140_taylor24,RUBIESEGS49140_taylor24,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,taylor24_ceers_rubies_blagn,RUBIES,EGS,broad_line_agn,virial_balmer_single_epoch,candidate,robust_broad_line_with_recorded_alternative_non_agn_interpretation,False,6.685,single-epoch-virial-halpha-reines2013,8.26,0.02,0.01,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,10000,20260808,True,split_normal_in_log_mbh,0.02,0.01,asymmetric,False,1.01321159358008,1.014299434997834,1.0159029168397022,1.0191297512946953,1.0212514852478884,1.0,6.394848386466599,6.401551724077179,6.411432465849883,6.431316394161724,6.444390633454296,1.0,1.0,100.0,likely_high_pressure,1.0159029168397022,5,5,5,5,
v3-shared-science,v3-dataset-catalogue,measurement,J022633256699_baccus26,J022633256699_baccus26,HZA-J0226-3325-6699,J0226_3325_6699,baccus26_nirspec_blagn,JWST/NIRSpec archival census,multi-field,broad_line_agn,virial_balmer_single_epoch,secure,source-catalogue broad-Halpha AGN identification,True,6.5405,single-epoch-virial-halpha,8.3,0.01,0.01,0.5,single-epoch virial calibration scatter,10000,20260808,True,split_normal_in_log_mbh,0.01,0.01,symmetric_reported,False,0.9872742278215453,0.9882757175046293,0.989816672004425,0.9913778408156773,0.9923853670698798,0.0,6.374344145460419,6.380718399513016,6.390526224427343,6.4004627088365185,6.406875384291318,1.0,1.0,100.0,likely_high_pressure,0.989816672004425,6,6,6,6,5
v3-shared-science,v3-dataset-catalogue,measurement,GOODSN9771_matthee23,GOODSN9771_matthee23,HZA-GOODS-N-9771,GOODS-N-9771,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,broad_line_agn,virial_balmer_single_epoch,secure,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,True,5.538,single-epoch-virial-halpha-reines2013,8.55,0.03,0.03,0.5,Reines et al. (2013) Halpha single-epoch estimator intrinsic/calibration uncertainty,10000,20260808,True,split_normal_in_log_mbh,0.03,0.03,symmetric_reported,False,0.8038666860809051,0.8062331033536441,0.809904351957051,0.8136396042044493,0.8160857522655197,0.0,6.0745852909738245,6.093721640484856,6.123409682921835,6.153615299379045,6.173396402564705,1.0,1.0,100.0,likely_high_pressure,0.809904351957051,7,7,7,7,6
v3-shared-science,v3-dataset-catalogue,measurement,GNZ11_maiolino24,GNZ11_maiolino24,HZA-GN-Z11,GN-z11,maiolino24_gnz11_agn,JADES,GOODS-N,high_ionization_line_candidate,virial_uv_single_epoch,probable,published multi-diagnostic accreting-black-hole interpretation,False,10.603,single-epoch-virial-uv-permitted-lines,6.2,0.3,0.3,,,10000,20260808,True,split_normal_in_log_mbh,0.3,0.3,symmetric_reported,False,1.2661608310751806,1.3345558207037185,1.435840725012998,1.5361821618880191,1.6027498667327598,0.9999,4.824394138004286,5.024334356612336,5.320422213621718,5.613752016480063,5.80835050287767,0.8574,0.0126,99.99,likely_high_pressure,1.435840725012998,8,1,1,1,
v3-shared-science,v3-dataset-catalogue,measurement,CEERS1019_larson23,CEERS1019_larson23,HZA-CEERS-1019,CEERS-1019,larson23_ceers1019,CEERS,EGS,broad_line_agn,virial_balmer_single_epoch,secure,published broad-line AGN identification,True,8.679,single-epoch-virial-hbeta,6.95,0.37,0.37,,,10000,20260808,True,split_normal_in_log_mbh,0.37,0.37,symmetric_reported,False,1.057506900664863,1.116303076527941,1.2052725631002024,1.2936357802959066,1.3522202415208795,0.9878,5.111485171728345,5.352992449340906,5.718437619494345,6.081392517712871,6.322030170300862,0.9737,0.2201,98.78,likely_high_pressure,1.2052725631002024,9,8,8,8,7
v3-shared-science,v3-dataset-catalogue,measurement,GS20057765_juodzbalis25,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,juodzbalis25_jades_blagn,JADES,GOODS-S,broad_line_agn,virial_balmer_single_epoch,probable,published_blagn_with_tentative_broad_line_detection,True,8.913,single-epoch-virial-hbeta,7.33,0.62,0.7,,,10000,20260808,True,split_normal_in_log_mbh,0.62,0.7,asymmetric,False,1.0619174468025894,1.1812941075943357,1.3568315318855784,1.515925902814601,1.6148435828247758,0.975,4.996255433233557,5.465706513530481,6.156010907366911,6.781652668549034,7.170648402164432,0.9492,0.5893,97.5,likely_high_pressure,1.3568315318855784,10,9,9,9,8
